ID;protocol;browser_type;login_attempts;duration;packet_size;encryption_used;ip_reputation_score;failed_logins;unusual_time_access;attack
136;TCP;Edge;5.0;1414.7818469631654;343;AES;0.1099788946865137;3;1;Y
137;TCP;Safari;4.0;679.6785160847335;435;AES;0.251661490626902;3;0;Y
138;TCP;Chrome;1.0;1185.7797753569248;662;AES;0.506076780728524;2;0;N
139;TCP;Unknown;1.0;897.9900818952359;253;DES;0.2380386819236216;4;0;Y
140;TCP;Unknown;4.0;455.88912093711633;545;AES;0.2624537715319337;3;0;Y
141;ICMP;Chrome;1.0;959.6300158997273;761;AES;0.1775413015405739;2;0;N
142;TCP;Edge;3.0;11.890700511572373;178;AES;0.2863406889126293;1;1;N
143;UDP;Firefox;3.0;332.0943080741142;536;DES;0.7033341839914414;0;0;Y
144;UDP;Chrome;3.0;1203.5341894452372;551;DES;0.1178914973329318;2;0;N
145;TCP;Chrome;5.0;1151.9651057221577;656;AES;0.3452066461644786;1;0;N
146;UDP;Firefox;4.0;1747.1974055008438;252;AES;0.3064959364798829;0;0;Y
147;TCP;Chrome;3.0;755.434368901311;235;AES;0.2509659861114192;3;0;Y
148;TCP;Chrome;3.0;2280.568942195515;604;;0.8039075882980276;0;0;Y
149;TCP;Chrome;3.0;652.6355940282597;559;AES;0.1325266852429517;2;0;N
150;TCP;Chrome;1.0;555.2444851752033;550;;0.3650417976497674;2;0;N
151;UDP;Chrome;7.0;175.73628085127916;569;;0.51671417169513;1;1;Y
152;ICMP;Chrome;6.0;1207.0821332288124;363;AES;0.3510400422582782;2;0;N
153;TCP;Chrome;5.0;942.2728647931104;546;AES;0.3436559596851325;1;0;N
154;UDP;Safari;9.0;494.07664627087496;558;DES;0.3144316341041462;2;0;Y
155;TCP;Edge;;72.91081297639256;357;DES;0.1995373166844637;2;0;Y
156;UDP;Chrome;3.0;107.46754869926538;873;DES;0.0512262805867224;2;0;N
157;TCP;Chrome;3.0;97.24720087836856;594;AES;0.4076859456226729;4;0;Y
158;TCP;Safari;10.0;376.7703857763132;261;;0.2406992996769797;1;0;Y
159;TCP;Chrome;6.0;138.5095628371252;631;AES;0.100603632546575;1;0;N
160;TCP;Edge;6.0;1577.7168112486886;305;AES;0.346916590070728;1;0;N
161;TCP;Chrome;6.0;1836.854066404744;657;;0.147279396713671;3;0;Y
162;UDP;Firefox;5.0;1554.6376149090595;731;DES;0.2549226275413593;2;0;Y
163;TCP;Chrome;3.0;750.9414290852901;335;DES;0.12309678522027;3;0;Y
164;UDP;Chrome;7.0;725.7763899065397;692;;0.5231976202835485;2;0;Y
165;UDP;Chrome;5.0;1772.5689478516597;582;AES;0.2328323308098431;1;0;N
166;TCP;Edge;8.0;417.1159065866958;664;AES;0.3710642290728093;2;0;Y
167;TCP;Firefox;5.0;51.49798031536433;879;;0.1010016631229617;0;0;Y
168;UDP;Chrome;1.0;508.49628287021335;450;AES;0.2577704856444119;2;0;N
169;TCP;Chrome;8.0;645.4298805334846;349;AES;0.242800051494813;1;0;Y
170;TCP;Chrome;1.0;637.8327848930265;322;AES;0.1999112691064991;1;0;N
171;TCP;Chrome;2.0;138.5347758456176;336;;0.1171155765443611;2;0;Y
172;TCP;Chrome;5.0;1223.8102732316374;484;AES;0.3957542090094353;1;1;Y
173;ICMP;Edge;5.0;1053.3158665799629;568;DES;0.1891346709377445;2;0;Y
174;TCP;Chrome;5.0;208.93902977348895;555;AES;0.551708412894967;1;0;N
175;TCP;Firefox;6.0;640.9945335485618;665;DES;0.5003713391880107;3;0;Y
176;TCP;Firefox;12.0;1249.7694954987144;502;DES;0.2982140196718431;1;0;Y
177;UDP;Firefox;4.0;6.171441467446689;790;DES;0.1969726328712207;2;0;Y
178;UDP;Firefox;3.0;257.4377388281377;447;AES;0.0676815431149165;0;1;N
179;TCP;Edge;4.0;510.9845736621589;1044;AES;0.5004393941360112;2;0;N
180;TCP;Chrome;1.0;1491.6272442087734;625;AES;0.2292396077650228;3;0;Y
181;TCP;Chrome;4.0;1283.4300381717148;328;;0.2790877310772736;2;0;N
182;TCP;Chrome;7.0;130.94982959554818;285;DES;0.2546566696903113;2;1;Y
183;TCP;Chrome;2.0;497.02132412144806;596;AES;0.1179179164359383;2;0;N
184;ICMP;Firefox;2.0;290.6566794998655;455;;0.4049464294212396;2;0;N
185;TCP;Chrome;1.0;410.5743325044247;642;;0.2535139501498699;2;0;N
186;TCP;Chrome;4.0;622.3103994578047;594;AES;0.8110277884368354;2;0;Y
187;UDP;Chrome;4.0;553.4633422524302;485;DES;0.0914983771525435;2;0;N
188;TCP;Edge;2.0;122.12443528436629;330;AES;0.5509077290494483;0;0;N
189;TCP;Edge;7.0;103.8028280833901;197;AES;0.444103086563627;2;0;Y
190;TCP;Edge;5.0;111.65696274923886;410;AES;0.3910043614883334;1;0;N
191;TCP;Unknown;4.0;1472.5326581431882;671;DES;0.1093543451809174;3;0;Y
192;UDP;Firefox;5.0;16.10939607653426;542;AES;0.3107330737649837;1;1;N
193;TCP;Chrome;4.0;180.92309581506888;250;AES;0.1752762514727518;1;0;N
194;TCP;Chrome;7.0;2496.887261332685;534;DES;0.2451322964747888;1;0;Y
195;TCP;Edge;5.0;54.64134538770197;577;;0.2994484351708427;1;0;N
196;UDP;Chrome;5.0;29.59799365313628;323;DES;0.2776327619502889;1;0;N
197;TCP;Firefox;5.0;391.9421775186524;530;DES;0.3016053857217878;2;0;N
198;TCP;Chrome;2.0;131.1458838080163;511;AES;0.1389147899939635;2;0;N
199;ICMP;Chrome;3.0;667.3328621639511;271;DES;0.0863630197646222;3;0;Y
200;TCP;Firefox;5.0;330.69417239531657;571;DES;0.0989605835813575;0;0;N
201;UDP;Safari;3.0;187.5349141621204;612;DES;0.5341956729663283;2;0;N
202;TCP;Chrome;3.0;5258.007876672442;716;;0.0806761863988792;2;0;N
203;TCP;Firefox;2.0;333.75180613210904;710;DES;0.3712473480414219;3;0;Y
204;TCP;Edge;5.0;819.5606827516343;224;DES;0.2634839803106942;2;0;N
205;TCP;Chrome;4.0;1657.8967328136305;312;AES;0.2363722399848674;1;0;N
206;TCP;Chrome;8.0;2044.817851142252;603;AES;0.6514337877152981;3;0;Y
207;TCP;Edge;7.0;422.2788269064481;602;AES;0.2150948601146794;3;0;Y
208;TCP;Chrome;1.0;2988.9867876731164;603;DES;0.2760896524741578;2;0;N
209;TCP;Chrome;5.0;1031.5238151002425;1270;DES;0.7746157586048802;1;0;Y
210;TCP;Chrome;7.0;700.2644400491948;614;AES;0.1488149454951986;3;0;Y
211;ICMP;Chrome;2.0;945.454259300091;727;AES;0.6518286335567869;1;0;Y
212;TCP;Chrome;8.0;357.2019170732965;690;;0.2128422693821582;1;0;Y
213;ICMP;Edge;3.0;441.8813257762719;630;AES;0.3379403701696052;2;0;N
214;TCP;Chrome;2.0;706.0315237925229;436;AES;0.3594574510632399;0;0;N
215;TCP;Chrome;7.0;316.6108122061147;651;AES;0.2730883183996028;2;0;Y
216;TCP;Unknown;3.0;1171.6183429982286;345;;0.3820914343646016;1;1;Y
217;UDP;Safari;4.0;231.3057526954721;452;AES;0.1758898600813458;3;0;Y
218;UDP;Chrome;6.0;1274.8733430770328;402;AES;0.4186859064025884;1;0;Y
219;TCP;Chrome;7.0;132.04816019596333;516;DES;0.2569158584334239;2;1;Y
220;UDP;Chrome;3.0;196.0975201486787;962;AES;0.5667834471156061;1;1;N
221;TCP;Chrome;2.0;1118.9978077851902;126;AES;0.2513053111036512;1;0;Y
222;TCP;Chrome;7.0;244.2875861075147;637;;0.1238283658460156;1;0;Y
223;ICMP;Firefox;3.0;1269.336265254229;177;;0.1129417568750118;1;0;N
224;UDP;Chrome;5.0;1225.5001480117148;405;AES;0.7302739057014698;0;0;Y
225;ICMP;Unknown;3.0;237.97180227640533;717;AES;0.6146206048540265;2;0;Y
226;TCP;Chrome;2.0;60.71129061945858;512;AES;0.4276029431872097;3;1;Y
227;TCP;Firefox;5.0;145.56345742064204;284;AES;0.4726292422226099;1;0;N
228;TCP;Chrome;5.0;1117.1621572909544;356;AES;0.2412143356950259;1;0;N
229;TCP;Firefox;10.0;1501.823588577862;635;AES;0.0724900815297521;3;0;Y
230;UDP;Chrome;5.0;386.3809840655401;353;AES;0.4272224955366141;0;0;N
231;TCP;Edge;4.0;143.51076801543536;543;;0.1640873775537933;0;0;N
232;TCP;Chrome;5.0;62.77560611350965;509;AES;0.6633916285008086;2;0;Y
233;TCP;Chrome;4.0;194.48929953258573;369;DES;0.4417840130620103;1;0;N
234;TCP;Chrome;5.0;3117.1111237301275;928;AES;0.2192378797327277;2;0;N
235;TCP;Chrome;6.0;149.326854401643;626;DES;0.4875925572606101;1;0;Y
236;TCP;Chrome;3.0;72.08595471285292;94;AES;0.1673003440945502;2;0;N
237;UDP;Chrome;4.0;1231.45768962121;537;AES;0.3175020689038164;0;0;N
238;TCP;Chrome;6.0;764.4650684422296;367;;0.5522961048967473;1;0;N
239;UDP;Chrome;4.0;612.2670042320594;670;DES;0.6324729460357419;2;0;Y
240;TCP;Chrome;4.0;475.1521218829639;341;DES;0.1142464176544391;1;0;Y
241;TCP;Chrome;5.0;968.1034736152236;477;;0.1763341995400506;0;0;N
242;TCP;Edge;3.0;958.8035428495627;600;;0.3179456138268727;1;0;N
243;UDP;Chrome;5.0;441.90985118413903;673;AES;0.2457649107763063;3;0;Y
244;TCP;Firefox;3.0;213.49648104766663;259;AES;0.5920401183622336;3;0;Y
245;TCP;Edge;3.0;1472.40752574175;433;DES;0.4633481759121942;3;1;Y
246;TCP;Chrome;10.0;143.89705935042394;405;AES;0.5711969542396962;1;0;Y
247;TCP;Firefox;;610.8665546296135;369;AES;0.3074823935664694;2;0;N
248;UDP;Firefox;4.0;943.877265223019;853;AES;0.3972464248148962;3;0;Y
249;UDP;Chrome;2.0;814.8292492241783;580;;0.1250070805449069;2;0;N
250;TCP;Chrome;5.0;771.5329877113128;247;DES;0.1275830500381217;2;0;Y
251;TCP;Chrome;3.0;868.966499861094;683;;0.2953639630114019;0;0;N
252;UDP;Chrome;6.0;1667.7557175305817;924;AES;0.2884500333340842;2;0;N
253;TCP;Firefox;4.0;363.7989546346428;706;AES;0.248932846360351;2;1;N
254;TCP;Chrome;3.0;789.8782430060236;196;AES;0.2640141983689803;1;0;N
255;TCP;Chrome;3.0;955.1300120826256;403;;0.2727884968338436;1;0;N
256;TCP;Edge;2.0;713.915926948315;753;AES;0.5568005749245504;2;0;N
257;TCP;Safari;2.0;1866.457231583724;358;DES;0.4477380834762792;1;1;N
258;UDP;Chrome;2.0;850.8558379069228;588;DES;0.2079475511776274;4;0;Y
259;TCP;Edge;6.0;441.9142581175928;654;DES;0.0991734814552741;0;0;N
260;TCP;Safari;6.0;1494.500082454998;314;DES;0.0805571353825306;3;0;Y
261;UDP;Chrome;5.0;537.9982787042743;488;AES;0.2962939229915175;0;0;N
262;TCP;Chrome;4.0;604.296028734614;64;AES;0.245609204846883;1;0;Y
263;TCP;Firefox;4.0;698.3541920212049;295;DES;0.4533878446573279;4;0;Y
264;TCP;Chrome;2.0;311.812813564501;449;AES;0.3014476018127252;1;0;N
265;TCP;Chrome;4.0;1025.6623175854356;250;AES;0.1431585535014474;2;0;N
266;UDP;Chrome;9.0;82.62453258190554;826;AES;0.3901416647324924;1;0;Y
267;UDP;Chrome;3.0;1625.1259879496724;213;AES;0.2948380134293726;1;0;N
268;TCP;Chrome;4.0;1123.6896964634686;411;AES;0.080983718175502;1;0;N
269;UDP;Chrome;3.0;349.10877723244647;526;;0.2387502104857343;2;0;Y
270;TCP;Edge;5.0;205.35313763445285;788;DES;0.3051170083506936;2;1;N
271;UDP;Chrome;6.0;392.6850037634333;212;AES;0.3699865367207026;1;1;N
272;TCP;Edge;2.0;1308.020307909569;732;AES;0.1919046573515208;4;0;Y
273;TCP;Chrome;6.0;25.66391556980137;502;;0.2173159655554526;3;0;Y
274;TCP;Chrome;4.0;504.7755404096497;303;;0.036139235611379;1;0;N
275;TCP;Edge;1.0;234.54194250047792;592;;0.408215129621812;2;0;N
276;TCP;Safari;2.0;1663.2422532826597;539;AES;0.1353768117514176;2;0;Y
277;TCP;Firefox;4.0;427.3321393830559;379;DES;0.7082677300966431;1;0;Y
278;UDP;Chrome;4.0;957.593324494753;513;AES;0.2103723487670503;1;0;Y
279;TCP;Safari;5.0;354.39962301749523;422;AES;0.0395255450832942;1;0;Y
280;ICMP;Firefox;7.0;320.0235284583744;522;AES;0.7191215189351108;1;0;Y
281;TCP;Firefox;6.0;315.4692574902977;632;AES;0.3812849634632371;2;0;N
282;TCP;Chrome;7.0;906.9969209771176;817;;0.2076923991581579;1;0;Y
283;UDP;Firefox;5.0;2664.7602536271625;252;DES;0.3229205459042479;2;0;N
284;TCP;Chrome;6.0;186.7013391561711;926;AES;0.2648246677824046;1;0;N
285;UDP;Firefox;3.0;826.0377247161939;109;;0.5070415050332354;2;0;N
286;UDP;Chrome;3.0;246.780815380797;469;AES;0.3852362102221529;3;0;Y
287;TCP;Chrome;3.0;637.6515281008511;617;DES;0.3480549763150973;1;0;Y
288;TCP;Firefox;3.0;624.0084850513184;556;DES;0.1689139808684438;1;0;N
289;TCP;Chrome;3.0;478.3365406589435;375;AES;0.2315063890845416;3;0;Y
290;TCP;Chrome;6.0;552.3513164824271;458;DES;0.1482395167944512;3;0;Y
291;TCP;Chrome;4.0;1697.7533026634542;401;AES;0.4348808542075785;2;0;N
292;UDP;Unknown;5.0;74.22269221366982;382;AES;0.0782615402149965;2;0;Y
293;TCP;Chrome;1.0;1418.8990127219554;669;AES;0.4528119810065444;1;1;N
294;TCP;Firefox;3.0;496.3834309128998;571;AES;0.308044553720591;4;0;Y
295;TCP;Safari;4.0;324.6849905115727;361;;0.3089934458007555;0;0;N
296;ICMP;Edge;1.0;155.98117018839662;679;AES;0.3509090588433247;2;0;N
297;TCP;Chrome;4.0;1349.0830647792754;561;DES;0.4244379963753192;1;0;N
298;TCP;Chrome;6.0;717.2732948818624;662;AES;0.3442998834876844;3;0;Y
299;TCP;Chrome;7.0;1042.668395568587;625;;0.2151644198288111;2;0;Y
300;ICMP;Chrome;4.0;302.6262416858706;334;DES;0.3722647858030916;3;0;Y
301;ICMP;Firefox;2.0;399.3275015852074;387;AES;0.395613837280464;1;0;N
302;TCP;Firefox;3.0;1959.4190815651675;649;DES;0.3065663803520335;2;0;N
303;UDP;Chrome;3.0;2599.1028605223205;622;AES;0.0603654977219078;2;0;N
304;TCP;Unknown;4.0;1077.1734625145084;495;AES;0.7032079060249946;3;1;Y
305;ICMP;Chrome;3.0;1107.200843136241;523;DES;0.4068778143239984;0;0;N
306;TCP;Firefox;1.0;948.3833026661184;755;AES;0.75885213312559;2;0;Y
307;TCP;Firefox;6.0;707.8529081699623;381;AES;0.3981485733080811;2;1;Y
308;TCP;Chrome;5.0;723.2493102710545;609;DES;0.2378407310010676;4;1;Y
309;TCP;Chrome;7.0;2655.0208061173084;459;AES;0.3853178331369276;2;1;Y
310;UDP;Chrome;2.0;1111.9577051650865;456;AES;0.1910325841651674;2;1;N
311;TCP;Chrome;6.0;852.1604925144311;719;AES;0.1247919255078034;1;0;N
312;ICMP;Chrome;2.0;167.65844166029746;665;AES;0.311150174143006;1;1;N
313;TCP;Chrome;2.0;3020.3860323046188;662;;0.2056280711198109;0;0;N
314;TCP;Chrome;5.0;587.6644390849099;761;AES;0.2234048422822092;3;0;Y
315;TCP;Firefox;4.0;2301.836606448674;504;AES;0.0375548537427198;1;0;N
316;TCP;Chrome;5.0;1000.1740737729252;636;AES;0.5302517473571433;2;0;Y
317;UDP;Chrome;9.0;32.724964531539314;437;;0.6555570079968134;2;0;Y
318;TCP;Chrome;5.0;619.4779792906528;564;AES;0.7008459657944341;3;0;Y
319;TCP;Firefox;3.0;1785.567995704509;473;AES;0.2065512311191087;1;0;N
320;TCP;Edge;3.0;42.53556726617147;519;AES;0.0942590558146546;3;0;Y
321;TCP;Safari;1.0;1612.287801821638;619;AES;0.2874080308809998;1;0;N
